"orgName","type","invoiceText","startOn","cost","currency","qty"
"Mind System Service Company Limited","EXTEND","Call Recording Standard ","2018-06-07","258.0645","THB","1"
"WSMART","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Dmatrix.Co,Ltd.","EXTEND","Virtual Line Professional ","2018-04-30","250.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","BizPhone Standard ","2018-04-25","300.0","THB","1"
"Alliance Group (Mother Company)","EXTEND","Virtual Line Professional ","2018-06-03","250.0","THB","1"
"Tomato Ideas Co Ltd","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"Alliance Group (Regency)","EXTEND","Virtual Line Professional ","2018-05-01","250.0","THB","1"
"ISS Facility Services","SKU_CHANGE","BizPhone Standard - 1 IP Phone License","2018-06-12","70.0","THB","1"
"Sharge Solutions Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-04-07","250.0","THB","1"
"Built Land","EXTEND","BizPhone Standard ","2018-06-01","1500.0","THB","2"
"T-CUBE Development (Thailand) Co.,Ltd.","EXTEND","Virtual Line Professional ","2018-04-29","250.0","THB","1"
"WSMART","EXTEND","Call Recording Standard ","2018-04-28","451.6129","THB","1"
"GFood Asia Co.,Ltd.","EXTEND","BizPhone Standard ","2018-04-27","400.0","THB","1"
"EMC Square","EXTEND","Direct Line Professional ","2018-05-02","150.0","THB","10"
"Alliance Group (Mother Company)","EXTEND","Call Recording Standard ","2018-05-03","600.0","THB","1"
"Alliance Group (Regency)","EXTEND","BizPhone Standard ","2018-05-01","200.0","THB","1"
"More Than a Game Cafe","EXTEND","Virtual Line Business ","2018-06-01","500.0","THB","1"
"Nice Loop","EXTEND","Call Recording Standard ","2018-06-17","200.0","THB","1"
"Phoenix Media","EXTEND","Call Recording Standard ","2018-06-08","251.6129","THB","1"
"Chiang Mai I.V.F. Polyclinic","EXTEND","BizPhone Standard ","2018-06-18","300.0","THB","1"
"Soho Hospitality Co.,Ltd.","EXTEND","BizPhone Standard ","2018-05-01","300.0","THB","1"
"Soho Hospitality Co.,Ltd.","SKU_CHANGE","Virtual Line Business - 5 Thailand - Bangkok","2018-05-03","0.0","THB","1"
"Built Land","REACTIVATE","Wallboard Wallboard ","2018-04-21","1117.7419","THB","1"
"ISS Facility Services","EXTEND","BizPhone Standard ","2018-06-03","5000.0","THB","1"
"Chameleon Strategies Co,.Ltd (2)","SUBSCRIBE","BizPhone Standard ","2018-05-15","100.0","THB","1"
"BIG Info Co.,Ltd (Mobile Style)","EXTEND","BizPhone Standard ","2018-06-08","251.6129","THB","1"
"Tomato Ideas Co Ltd","EXTEND","Virtual Line Professional ","2018-06-01","250.0","THB","1"
"Project Victor Co., Ltd.","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"Nittsu Logistics ( Thailand ) Co., Ltd.","EXTEND","Call Recording Standard ","2018-05-01","200.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","Virtual Line Business ","2018-04-25","500.0","THB","1"
"Nice Loop","EXTEND","BizPhone Standard ","2018-04-17","200.0","THB","1"
"Indigo International Co.,Ltd.","EXTEND","Call Recording Standard ","2018-04-16","200.0","THB","1"
"Direct Asia","SKU_CHANGE","Virtual Line Business - 3 Thailand - Bangkok","2018-04-24","0.0","THB","1"
"Mediakeys","EXTEND","BizPhone Standard ","2018-05-16","200.0","THB","1"
"WSMART","EXTEND","Virtual Line Professional ","2018-05-12","250.0","THB","10"
"T-CUBE Development (Thailand) Co.,Ltd.","EXTEND","BizPhone Standard ","2018-04-29","200.0","THB","1"
"NP Medical Co., Ltd.","EXTEND","BizPhone Standard ","2018-06-25","367.7419","THB","1"
"WSMART","SUBSCRIBE","Virtual Line Professional ","2018-05-11","250.0","THB","1"
"Ocean Property Company Limited","EXTEND","Virtual Line Business Plus ","2018-05-01","1000.0","THB","1"
"Mega We Care","PRIMARY_SKU_CHANGE","Virtual Line Business ","2018-04-09","183.3333","THB","1"
"WSMART","SUBSCRIBE","Virtual Line Professional ","2018-05-16","250.0","THB","1"
